title,severity,confidence,category,agent_name,affected_files,why_it_matters,suggested_remediation
Phase-2 contract registry still describes legacy conditional and bridge stages that the planner no longer schedules,high,verified,contract_integrity,architecture_contracts,project/contracts/pipeline_registry.py; project/pipelines/stages/research.py; project/pipelines/research/README.md; project/tests/pipelines/test_pipeline_discovery_mode.py,"Governance/docs describe a discovery chain that does not actually execute, so operator expectations and contract audits can be wrong before runtime starts.",Either remove legacy conditional/bridge stages from the registry/docs or restore explicit scheduling paths and end-to-end planner tests.
Strategy packaging stages point at nonexistent wrapper scripts while contract validation still reports the plan valid,critical,verified,correctness,architecture_contracts,project/pipelines/stages/evaluation.py; project/contracts/pipeline_registry.py; project/tests/pipelines/test_stage_registry_contract.py,A plan can pass the contract layer and then fail only at execution time when Python cannot open the stage script.,"Point the planner and registry at real implementations under project/research/* or restore the missing wrappers, then make the registry validator reject nonexistent scripts."
"README declares docs/generated authoritative, but required generated artifacts are missing and build_system_map --check fails",high,verified,artifact_integrity,architecture_contracts,README.md; docs/generated/; project/scripts/build_system_map.py; project/scripts/regenerate_artifacts.sh,"Governance-facing generated artifacts are incomplete and not reproducible from the checked-in regeneration path, so artifact trust is lower than the docs claim.",Narrow the documented generated surface or commit and continuously check the full declared set in CI.
"System-map ownership points to services, but run_all actually executes wrappers and CLI modules",medium,verified,architecture,architecture_contracts,project/contracts/stage_dag.py; project/contracts/system_map.py; project/pipelines/run_all.py; project/pipelines/research/phase2_search_engine.py; project/research/cli/promotion_cli.py,"The declared boundary map is not the real orchestration graph, which hides ownership and upgrade risk.",Either make wrappers call services directly as the canonical surface or update the stage_dag/system_map to reflect the actual wrapper chain.
Stage contracts are enforced by naming and glob patterns rather than executable or artifact proof,medium,verified,maintainability,architecture_contracts,project/contracts/pipeline_registry.py; project/tests/pipelines/test_stage_registry_contract.py,High-leverage failures survive planning and contract checks until runtime or later artifact review.,Add existence/import checks and at least one artifact-level smoke assertion per stage family.
Search evaluator counts validation events whose forward-return horizon exits in the test split,high,verified,statistical_integrity,research_inference,project/research/search/search_feature_utils.py; project/research/search/evaluator.py,"Holdout statistics can incorporate future test data while still being labeled as validation, biasing discovery and promotion evidence.",Use event-window-aware split assignment or drop events whose realized horizon crosses a split boundary.
Shift placebo construction uses the previous event timestamp instead of a true bar-offset timestamp,high,verified,statistical_integrity,research_inference,project/research/validation/falsification.py; project/research/services/candidate_discovery_scoring.py,The placebo no longer represents a bar-shift null and can duplicate real event timing structure.,"Shift by bar-duration or bar index, not by previous-row timestamp reuse."
Confirmatory placebo pass/fail can be driven by train rows because placebo frames are not restricted to evaluation splits,high,verified,statistical_integrity,research_inference,project/research/services/candidate_discovery_scoring.py,Discovery-vs-confirmatory separation collapses inside the falsification path.,Filter placebo frames to evaluation rows before placebo gating.
Run comparison treats explicit zero-valued split knobs as unavailable instead of mismatches,high,verified,contract_integrity,research_inference,project/research/services/run_comparison_service.py,Runs with materially different purge/embargo/entry-lag contracts can compare as compatible.,Treat explicit zero as meaningful and compare presence separately from value.
Promotion output assembly can silently drop malformed evidence bundles without failing closed,medium,likely,artifact_integrity,research_inference,project/research/services/promotion_service.py,A promoted candidate can survive while its evidence bundle artifact is missing or malformed.,"Make promotion assembly fail when promoted rows lack valid evidence bundles, or emit a blocking integrity error on count mismatch."
Confirmatory candidate matching only preserves economic identity when optional fields happen to be present,medium,likely,economic_realism,research_inference,project/research/services/confirmatory_candidate_service.py,Two runs can match as structurally continuous without proving they used the same cost contract.,"Promote economic-identity fields from optional to required for confirmatory matching, or downgrade comparisons to non-confirmatory when they are absent."
Certification mode records strict artifact-safety flags but never enables the environment gates that enforce them,high,verified,contract_integrity,pipelines_artifacts,project/pipelines/run_all_bootstrap.py; project/io/utils.py; project/pipelines/execution_engine.py; project/pipelines/run_all.py,Certification mode advertises fail-closed artifact isolation while still allowing the default fallback behavior.,Export the enforcement env vars from run_all in certification mode and add an execution-path test that proves the stricter behavior is active.
"build_features can exit success with no inputs, no outputs, and no per-symbol results",high,verified,artifact_integrity,pipelines_artifacts,project/pipelines/features/build_features.py; project/pipelines/execution_engine.py; project/specs/manifest.py,"A green feature stage can represent zero produced artifacts, which is a false-green path and breaks cache/reconciliation logic.","Make zero-produced-symbol runs fail or warn, and require successful manifests to declare existing outputs."
ingest_binance_um_ohlcv converts total fetch failure into a green stage with only missing-archive stats,critical,verified,correctness,pipelines_artifacts,project/pipelines/ingest/ingest_binance_um_ohlcv.py; project/pipelines/execution_engine.py,The root raw-data producer can go green when no requested market data was actually ingested.,Treat coverage failure as terminal when required partitions are missing and record actual written partitions into manifest outputs.
"Funding ingestion records missing coverage but still returns success, allowing partial or empty funding artifacts to masquerade as complete",high,verified,artifact_integrity,pipelines_artifacts,project/pipelines/ingest/ingest_binance_um_funding.py; project/pipelines/features/build_features.py; project/contracts/pipeline_registry.py,A run can appear funding-aware while silently dropping funding-derived signal content.,Differentiate complete success from partial coverage and add configurable enforcement when funding-derived features are expected.
Run-manifest reconciliation upgrades failed runs to success without checking declared outputs or artifact existence,high,verified,artifact_integrity,pipelines_artifacts,project/pipelines/pipeline_provenance.py; project/tests/pipelines/test_run_manifest_reconciliation.py,Manual or stale manifests can flip a failed run to success even when artifacts are missing or empty.,"Require reconciliation to validate declared outputs against disk and, ideally, against the artifact contract before promoting the run."
Alias event ids bypass canonicalization in ontology deconfliction,high,verified,correctness,events_ontology,project/events/ontology_deconfliction.py; project/events/event_aliases.py; project/research/services/regime_effectiveness_service.py; project/tests/events/test_ontology_deconfliction.py,"Equivalent events can survive as separate canonical episodes, corrupting regime routing and episode aggregation.",Normalize through resolve_event_alias() before bundle lookup and add alias/canonical regression tests.
ontology_audit.json is false-green: it reports no failures while every state source event is missing relative to the checked registry,high,verified,artifact_integrity,events_ontology,project/scripts/ontology_consistency_audit.py; spec/events/canonical_event_registry.yaml; docs/generated/ontology_audit.json,Operators can see a passing ontology audit when the same artifact proves state-to-event linkage is invalid against its claimed canonical source.,"Validate against the unified/compiled registry instead, or escalate non-empty states_with_missing_source_event into failures."
Dead interaction-family specs are auto-registered as detectors outside the active ontology contract,medium,verified,contract_integrity,events_ontology,project/events/families/interaction.py; project/spec_validation/loaders.py; spec/events/interaction/INT_LIQ_OI_CONFIRM.yaml; docs/generated/detector_coverage.md,"The detector registry exposes callable ids outside the authoritative ontology, creating inconsistent runtime universes depending on which registry surface code consults.",Gate interaction registration on compiled-registry membership or promote the intended interaction ids into the authoritative registry/mapping.
Generated ontology audits disagree on active-event count because one still relies on top-level per-event YAML presence,medium,verified,docs_drift,events_ontology,project/scripts/ontology_consistency_audit.py; docs/generated/ontology_audit.json; docs/generated/event_ontology_audit.json; spec/events/event_registry_unified.yaml,"Repo inventory artifacts disagree about the live event universe, breaking audit comparability and governance trust.",Derive both audits from the same unified runtime source or require a per-event YAML for every active event and fail when one is missing.
Serialized blueprint lineage is silently reset when runtime rebuilds a blueprint,high,verified,contract_integrity,strategy_compilation,project/strategy/dsl/normalize.py; project/strategy/dsl/schema.py; project/strategy/models/executable_strategy_spec.py; project/strategy/runtime/dsl_runtime/interpreter.py,Artifact identity and provenance are lost exactly at the blueprint/spec -> runtime boundary.,Round-trip the full LineageSpec payload or validate the entire lineage dict directly instead of cherry-picking fields.
Runtime hard-requires funding_rate_scaled even for strategies that never reference funding,high,verified,runtime_safety,strategy_compilation,project/strategy/runtime/dsl_runtime/execution_context.py; project/strategy/runtime/dsl_runtime/interpreter.py; project/tests/strategy_dsl/test_dsl_runtime_contracts.py,Legal strategies can fail at runtime because the runtime contract is broader than the declared trigger/condition set.,Make funding fields lazy or defaultable for strategies that do not use funding conditions.
Post-compile clustering is nondeterministic because it uses Python hash(),high,verified,artifact_integrity,strategy_compilation,project/research/compile_strategy_blueprints.py,The same inputs can keep or drop different blueprints across separate runs.,Use a stable digest or the explicit tuple as the clustering key.
Main blueprint compiler bypasses its own selection helper and ignores several exposed gating arguments,medium,verified,maintainability,strategy_compilation,project/research/compile_strategy_blueprints.py; project/tests/pipelines/research/test_compile_blueprint_module_wiring.py,Operator-facing CLI knobs appear to control compilation but do not change the output set.,Route main() through _choose_event_rows() or delete the dead CLI knobs.
spec/strategies YAML files are not part of the executable pipeline and have drifted from runtime reality,low,verified,docs_drift,strategy_compilation,spec/strategies/liquidity_dislocation_mr.yaml; spec/strategies/context_state_smoke.yaml; project/compilers/spec_transformer.py; project/research/compile_strategy_blueprints.py,These YAML files look authoritative but do not govern runtime behavior.,Either wire these YAMLs into an enforced compile path or demote them to examples/tests and point operators at Blueprint/ExecutableStrategySpec as the source of truth.
Monitor-only runners can still send real flatten orders when the kill-switch fires,critical,verified,runtime_safety,engine_live_runtime,project/scripts/run_live_engine.py; project/live/runner.py; project/live/oms.py; project/configs/live_paper.yaml; project/configs/live_production.yaml,A supposedly non-trading observer can place real venue orders during a stale-feed or health-triggered unwind.,"Hard-gate all venue mutation paths on runtime_mode, or rename/document the mode if protective order placement is intentional."
Monitor-only startup still requires a tradable Binance account and trading credentials,high,verified,contract_integrity,engine_live_runtime,project/scripts/run_live_engine.py; project/tests/scripts/test_run_live_engine.py; project/tests/contracts/test_live_environment_config_contract.py,There is no safe read-only deployment tier despite the naming and config contract.,Branch startup requirements on runtime_mode and allow monitor_only to use read-only credentials/connectivity checks.
Incubation or paper gating is ineffective and graduation status is inverted,high,verified,correctness,engine_live_runtime,project/live/runner.py; project/portfolio/incubation.py; project/live/oms.py,"Incubating strategies are not truly kept out of live trading, and explicit graduation status is misreported.",Fix is_graduated() semantics and enforce incubation at the OMS submission boundary.
Any caller can forge a StrategyResult and reach live trading by flipping strategy_runtime.implemented,high,verified,runtime_safety,engine_live_runtime,project/live/runner.py; project/live/oms.py; project/engine/strategy_executor.py,Unsafe or fabricated runtime objects can bypass provenance checks and create venue orders.,"Bind live-trading eligibility to validated runtime object type or signed strategy provenance, not a free-form implemented flag."
Runtime postflight audit can return pass for malformed event rows because normalization is skipped,medium,verified,artifact_integrity,engine_live_runtime,project/runtime/invariants.py; project/runtime/normalized_event.py; project/pipelines/runtime/build_normalized_replay_stream.py,Replay/postflight artifacts can go green on malformed runtime data that the real normalization stage would reject or truncate.,Normalize first or consume the normalized replay artifact before performing postflight checks.
"OMS fills do not update LiveStateStore, so safety decisions run on stale account state until the next snapshot sync",medium,verified,correctness,engine_live_runtime,project/live/runner.py; project/live/oms.py; project/live/state.py,"Sizing, drawdown checks, and kill-switch logic can act on stale balances and positions between exchange syncs.",Apply provisional local state updates on fills or maintain a merged local execution ledger for safety-critical logic.
"Execution cost units diverge across core, eval, and research paths",high,verified,correctness,core_features_costs,project/core/execution_costs.py; project/eval/cost_model.py; project/research/search/evaluator.py; project/research/phase2_cost_integration.py,The same fee config produces different after-cost returns depending on the path that computed them.,Adopt one repo-wide cost unit contract and rename fields/sites so per-side and round-trip values cannot be confused.
Funding carry can make stressed-cost robustness improve as costs are stressed,high,verified,economic_realism,core_features_costs,project/research/gating.py; project/research/services/candidate_discovery_scoring.py; project/eval/robustness.py,A cost-stress panel can certify fragile candidates as more robust when stressed harder.,Stress transaction costs separately from funding carry and clamp transaction-cost inputs to non-negative values.
Funding carry is applied as a flat trade adjustment independent of holding horizon,medium,verified,economic_realism,core_features_costs,project/research/gating.py,"A 5-minute hold and a 1-hour hold can receive identical funding carry, distorting horizon comparisons.",Accrue carry over the actual holding window using aligned funding timestamps and interval counts.
Research helper integrate_execution_costs is broken and does not call the shared core utility correctly,medium,verified,architecture,core_features_costs,project/research/cost_integration.py; project/core/execution_costs.py,A purported shared research integration path fails immediately and cannot share semantics with the maintained core path.,Delete the dead helper or rewrite it against the actual resolve_execution_costs() keyword contract.
The repo marks after-cost outputs as including funding carry even when actual carry coverage can be zero,medium,likely,contract_integrity,core_features_costs,project/research/services/candidate_discovery_service.py; project/research/services/candidate_discovery_scoring.py; project/research/gating.py,Consumers can assume net expectancy already includes carry economics when the observed coverage is actually zero.,Derive the flag from observed coverage or split formula capability from observed carry coverage.
"Compiled registry ignores the declared default entry-lag grid and falls back to (1, 2)",medium,verified,correctness,specs_configs_validation,project/domain/models.py; spec/ontology/templates/template_registry.yaml,Wildcard/default lag expansion under-enumerates the declared search space and drops lag 3.,"Read defaults.param_grids.common.entry_lag_bars (or support both keys during migration) and add a regression test for [1,2,3]."
Direct experiment-config path accepts zero-lag hypotheses that search validators classify as leakage,high,verified,statistical_integrity,specs_configs_validation,project/research/experiment_engine_validators.py; project/research/experiment_engine.py; project/research/search/validation.py; project/configs/experiments/e2e_synth_small.yaml,The experiment-engine entrypoint can generate same-bar-leakage hypotheses that the core search validator would reject.,Enforce entry_lag >= 1 in experiment_engine_validators and normalize existing configs away from zero.
Authoritative search-limit defaults advertise invalid zero-lag values that the proposal pipeline rejects,medium,verified,contract_integrity,specs_configs_validation,project/configs/registries/search_limits.yaml; project/research/agent_io/proposal_to_experiment.py; project/research/agent_io/proposal_schema.py,The same registry file is presented as authoritative defaults but cannot survive the proposal path that consumes it.,Remove 0 from search_limits.yaml or change the downstream leakage contract; the mixed state is self-invalidating.
carry_state=neutral is declared as allowed in one spec but rejected by the compiled runtime context map,medium,verified,contract_integrity,specs_configs_validation,spec/states/state_families.yaml; spec/grammar/state_registry.yaml; project/domain/registry_loader.py; project/research/search/validation.py,Proposal/search/runtime semantics for carry_state are internally contradictory.,Add neutral to the compiled context map or remove it from the allowed-values surface.
Experiment-engine registry consistency check is effectively unreachable because it reads the wrong registry shapes,medium,verified,architecture,specs_configs_validation,project/research/experiment_engine.py; project/research/experiment_engine_schema.py; project/configs/registries/events.yaml; project/configs/registries/templates.yaml; project/tests/spec_validation/test_registry_consistency.py,"The runtime safeguard is a no-op, so drift can be caught in one test stack but never by the direct runtime path.","Point the runtime check at the same authoritative spec files as the CI consistency test, or remove the dead runtime check."
cost_profiles and conditioning_intersections are declared in search specs but have no runtime consumers,low,verified,maintainability,specs_configs_validation,spec/search_space.yaml; spec/search/search_full.yaml; spec/search/search_phase1.yaml; spec/search/search_phase2.yaml; spec/search/search_phase3.yaml; spec/search/search_synthetic_truth.yaml,Operator-facing knobs appear authoritative but currently do nothing.,Implement consumers or reject/deprecate these unsupported keys in schema validation.
CLI smoke entrypoint silently ignores --seed and --storage_mode,medium,verified,correctness,reliability_tests_ci,project/reliability/cli_smoke.py; project/tests/reliability/test_cli_smoke_entrypoint.py; project/tests/reliability/test_storage_modes.py; .github/workflows/tier2.yml,"The maintained smoke CLI does not honor its own operator-facing contract, and tier2 only exercises defaults.",Pass the parsed args into run_smoke_cli() and add a CLI-level contract test.
"Synthetic-truth validation in CI is mostly artifact-plumbing validation, not full inference-chain validation",high,verified,test_gap,reliability_tests_ci,project/scripts/validate_synthetic_detector_truth.py; project/scripts/run_golden_synthetic_discovery.py; project/tests/smoke/test_golden_synthetic_discovery.py; project/tests/synthetic_truth/assertions/engine.py,A stale or fabricated report can satisfy CI without proving detector inference worked on the synthetic input.,Add one deterministic end-to-end canary that runs the real detector path and validates the real emitted report without monkeypatching.
PR CI tiers do not gate several high-risk deterministic surfaces before merge,high,verified,operator_hazard,reliability_tests_ci,.github/workflows/tier1.yml; .github/workflows/tier2.yml; .github/workflows/tier3.yml; Makefile,"Breakage in smoke orchestration, synthetic-truth wiring, and PIT invariants can merge without PR-time detection.","Promote a minimal subset of tier2 into PR gating: CLI smoke, one synthetic-truth canary, and one PIT canary."
PIT and promotion safety helper modules exist but are entirely outside test and CI coverage,medium,verified,test_gap,reliability_tests_ci,project/reliability/promotion_gate.py; project/reliability/temporal_lint.py; .github/workflows/tier1.yml; .github/workflows/tier2.yml; .github/workflows/tier3.yml,"Either critical PIT/promotion safety guards are unverified, or dead code creates a false sense of protection.",Add narrow deterministic unit tests or remove/deprecate the unused safety-helper surfaces.
Promotion smoke test contains stale defect commentary that contradicts current runtime behavior,low,verified,docs_drift,reliability_tests_ci,project/tests/smoke/test_promotion_smoke.py; project/reliability/cli_smoke.py,Stale defect commentary distorts audit and maintenance work even when runtime behavior has improved.,Remove/update the stale comment and add an explicit promotion-mode smoke test.
"Benchmark tools write to two different artifact roots, making direct matrix runs invisible to review tooling",high,verified,contract_integrity,scripts_operator_surface,project/scripts/run_benchmark_matrix.py; project/scripts/run_benchmark_maintenance_cycle.py; project/scripts/show_benchmark_review.py; project/scripts/show_promotion_readiness.py; docs/04_COMMANDS_AND_ENTRY_POINTS.md; docs/08_TESTING_AND_MAINTENANCE.md,An operator can run the documented benchmark path successfully and then fail to discover or compare the result using maintained review tooling.,Unify benchmark roots through one shared path helper and add a default-discoverability regression test.
edge-live-engine has undocumented environment contracts and a dead-end default config,high,verified,operator_hazard,scripts_operator_surface,project/scripts/run_live_engine.py; project/configs/golden_certification.yaml; docs/04_COMMANDS_AND_ENTRY_POINTS.md; project/tests/contracts/test_live_environment_service_contract.py,A documented maintained entry point is not operable from its own visible CLI contract.,"Fail fast when no runtime environment resolves, document the full env contract, and remove or replace the dead-end default config."
run_researcher_verification hardcodes direct phase-2 paths and rejects supported nested search_engine artifact layouts,high,verified,artifact_integrity,scripts_operator_surface,project/scripts/run_researcher_verification.py; project/scripts/run_golden_synthetic_discovery.py; project/artifacts/catalog.py; project/tests/smoke/test_golden_synthetic_discovery.py,A verification tool rejects valid outputs because it bypasses the repo’s shared artifact resolver.,Use project.artifacts.catalog helpers in _verify_experiment_artifacts() and add tests for both direct and nested layouts.
Two cleanup entry points with the same purpose have materially different destructive behavior,medium,verified,operator_hazard,scripts_operator_surface,project/scripts/clean_data.py; project/scripts/clean_data.sh,Two similarly named cleaners can preserve history in one invocation and destructively wipe broader trees in another.,Collapse to one maintained cleaner or document/rename the destructive differences prominently.
One-off mutation scripts bypass proposal/governance contracts and edit tracked code or config directly,medium,verified,contract_integrity,scripts_operator_surface,project/scripts/fix_regime.py; project/scripts/fix_detector_registry.py; project/scripts/pipeline_governance.py; docs/03_OPERATOR_WORKFLOW.md; docs/04_COMMANDS_AND_ENTRY_POINTS.md,These scripts circumvent the disciplined operator surfaces the docs tell users to trust and can silently desynchronize registries/specs/generated artifacts.,Remove them from the maintained tree or fold them into a governed tool that supports --check/--apply and post-mutation validation.
strategy_workbench.py is an undocumented bypass path that writes temp specs and launches run_all directly,medium,verified,docs_drift,scripts_operator_surface,project/scripts/strategy_workbench.py; docs/03_OPERATOR_WORKFLOW.md; docs/04_COMMANDS_AND_ENTRY_POINTS.md,Operators can discover a plausible-looking script that bypasses the repo’s claimed planning and memory/accountability flow.,Retire it or convert it into a proposal generator that delegates through issue_proposal/execute_proposal.
Legacy memory rebuild scripts are hardcoded to one synthetic run and mutate persistent memory tables with no controls,low,verified,maintainability,scripts_operator_surface,project/scripts/rebuild_memory.py; project/scripts/rebuild_memory_v2.py; docs/04_COMMANDS_AND_ENTRY_POINTS.md,They are operator-confusing legacy surfaces that can overwrite persistent memory state for one hardcoded program.,Delete them if obsolete or replace them with parameterized CLIs requiring explicit ids and apply confirmation.
Artifact regeneration script hardcodes python3 instead of the project interpreter,low,likely,operator_hazard,scripts_operator_surface,project/scripts/regenerate_artifacts.sh; docs/08_TESTING_AND_MAINTENANCE.md,Artifact regeneration can fail or drift on hosts where python3 is not the project environment.,Resolve the project interpreter explicitly or move artifact regeneration behind a make target/Python entry point that uses the configured env.
