candidate_id,source_type,source_contract_ids,event_contract_ids,episode_contract_ids,source_campaign_id,hypothesis_statement,expected_direction_or_path,horizon_guess,invalidation_rule,current_evidence_source,regime_assumptions,confounders_checked,detector_fidelity_status,governance_tier,operational_role,deployment_disposition,promotion_status,next_action
THESIS_VOL_SHOCK,event,VOL_SHOCK,VOL_SHOCK,,,"When VOL_SHOCK fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless realized vol re-expands above shock threshold within phase_tolerance_bars; second shock occurs before first relaxation completes",Expect volatility expansion and directional follow-through after onset.,8-24 bars,Realized vol re-expands above shock threshold within phase_tolerance_bars; Second shock occurs before first relaxation completes,event_contract_fallback:VOL_SHOCK,Primary use is as a trigger inside VOLATILITY TRANSITION research and promotion flows.,none_yet,governed_contract_available,A,trigger,primary_trigger_candidate,test_now,run_seed_tests
THESIS_LIQUIDITY_VACUUM,event,LIQUIDITY_VACUUM,LIQUIDITY_VACUUM,,,"When LIQUIDITY_VACUUM fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless volume returns above-median within 1 bar of event end; range compresses below 0.8 * range_med within 2 bars",Expect unstable liquidity conditions that either amplify the move or attract a repair response.,8-24 bars,Volume returns above-median within 1 bar of event end; Range compresses below 0.8 * range_med within 2 bars,event_contract_fallback:LIQUIDITY_VACUUM,Primary use is as a trigger inside LIQUIDITY STRESS research and promotion flows.,none_yet,governed_contract_available,A,trigger,primary_trigger_candidate,test_now,run_seed_tests
THESIS_LIQUIDITY_STRESS_DIRECT,event,LIQUIDITY_STRESS_DIRECT,LIQUIDITY_STRESS_DIRECT,,,"When LIQUIDITY_STRESS_DIRECT fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless volume returns above median within 1-2 bars; spread compresses back to baseline",Expect volatility expansion and directional follow-through after onset.,8-24 bars,Volume returns above median within 1-2 bars; Spread compresses back to baseline,event_contract_fallback:LIQUIDITY_STRESS_DIRECT,Primary use is as a trigger inside LIQUIDITY STRESS research and promotion flows.,none_yet,governed_contract_available,B,trigger,secondary_or_confirm,test_now,run_seed_tests
THESIS_BASIS_DISLOC,event,BASIS_DISLOC,BASIS_DISLOC,,,"When BASIS_DISLOC fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless basis normalizes within horizon; z-score returns to mean",Expect volatility expansion and directional follow-through after onset.,8-24 bars,Basis normalizes within horizon; Z-score returns to mean,event_contract_fallback:BASIS_DISLOC,Primary use is as a trigger inside BASIS FUNDING DISLOCATION research and promotion flows.,none_yet,governed_contract_available,A,trigger,primary_trigger_candidate,test_now,run_seed_tests
THESIS_FND_DISLOC,event,FND_DISLOC,FND_DISLOC,,,"When FND_DISLOC fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless basis normalizes within horizon; z-score returns to mean",Expect volatility expansion and directional follow-through after onset.,8-24 bars,Basis normalizes within horizon; Z-score returns to mean,event_contract_fallback:FND_DISLOC,Primary use is as a trigger inside BASIS FUNDING DISLOCATION research and promotion flows.,none_yet,governed_contract_available,A,trigger,primary_trigger_candidate,test_now,run_seed_tests
THESIS_LIQUIDATION_CASCADE,event,LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,,,"When LIQUIDATION_CASCADE fires under governed contract semantics, expect the declared post-event path to materialize over 8-24 bars unless position unwinds within expected horizon; funding reverses sign",Expect forced flow to culminate in either continued stress or a sharp repair window.,8-24 bars,Position unwinds within expected horizon; Funding reverses sign,event_contract_fallback:LIQUIDATION_CASCADE,Primary use is as a trigger inside LIQUIDATION CASCADE research and promotion flows.,none_yet,governed_contract_available,A,trigger,primary_trigger_candidate,test_now,run_seed_tests
THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,event_plus_confirm,VOL_SHOCK|LIQUIDITY_VACUUM,VOL_SHOCK|LIQUIDITY_VACUUM,,,"When VOL_SHOCK + LIQUIDITY_VACUUM align in the same episode window, the combined setup should be stronger than either event alone.",Expect volatility expansion and directional follow-through after onset.,8-24 bars,Realized vol re-expands above shock threshold within phase_tolerance_bars; Second shock occurs before first relaxation completes OR Volume returns above-median within 1 bar of event end; Range compresses below 0.8 * range_med within 2 bars,event_contract_fallback:paired_confirmation,Requires compatible regimes for both trigger and confirmation legs.,none_yet,governed_contract_available,A,confirm,seed_review_required,test_now,run_seed_tests
THESIS_LIQUIDITY_VACUUM_CASCADE_CONFIRM,event_plus_confirm,LIQUIDITY_VACUUM|LIQUIDATION_CASCADE,LIQUIDITY_VACUUM|LIQUIDATION_CASCADE,,,"When LIQUIDITY_VACUUM + LIQUIDATION_CASCADE align in the same episode window, the combined setup should be stronger than either event alone.",Expect forced flow to culminate in either continued stress or a sharp repair window.,8-24 bars,Volume returns above-median within 1 bar of event end; Range compresses below 0.8 * range_med within 2 bars OR Position unwinds within expected horizon; Funding reverses sign,event_contract_fallback:paired_confirmation,Requires compatible regimes for both trigger and confirmation legs.,none_yet,governed_contract_available,A,confirm,seed_review_required,test_now,run_seed_tests
THESIS_BASIS_FND_CONFIRM,event_plus_confirm,BASIS_DISLOC|FND_DISLOC,BASIS_DISLOC|FND_DISLOC,,,"When BASIS_DISLOC + FND_DISLOC align in the same episode window, the combined setup should be stronger than either event alone.",Expect unstable liquidity conditions that either amplify the move or attract a repair response.,8-24 bars,Basis normalizes within horizon; Z-score returns to mean OR Basis normalizes within horizon; Z-score returns to mean,event_contract_fallback:paired_confirmation,Requires compatible regimes for both trigger and confirmation legs.,none_yet,governed_contract_available,A,confirm,seed_review_required,test_now,run_seed_tests
THESIS_LIQUIDATION_DEPTH_CONFIRM,event_plus_confirm,LIQUIDATION_CASCADE|LIQUIDITY_STRESS_DIRECT,LIQUIDATION_CASCADE|LIQUIDITY_STRESS_DIRECT,,,"When LIQUIDATION_CASCADE + LIQUIDITY_STRESS_DIRECT align in the same episode window, the combined setup should be stronger than either event alone.",Expect forced flow to culminate in either continued stress or a sharp repair window.,8-24 bars,Position unwinds within expected horizon; Funding reverses sign OR Volume returns above median within 1-2 bars; Spread compresses back to baseline,event_contract_fallback:paired_confirmation,Requires compatible regimes for both trigger and confirmation legs.,none_yet,governed_contract_available,A/B,confirm,seed_review_required,test_now,run_seed_tests
THESIS_EP_VOLATILITY_BREAKOUT,episode,EP_VOLATILITY_BREAKOUT,RANGE_COMPRESSION_END|VOL_SHOCK,EP_VOLATILITY_BREAKOUT,,"When episode EP_VOLATILITY_BREAKOUT forms from RANGE_COMPRESSION_END + VOL_SHOCK, expect the episode path described by the contract to be testable over 8-24 bars.",Expect volatility expansion and directional follow-through after onset.,8-24 bars,FALSE_BREAKOUT,episode_contract_fallback:EP_VOLATILITY_BREAKOUT,Allowed unless disallowed regimes are present; blocked in SCHEDULED_TEMPORAL_WINDOW,none_yet,episode_contract_available,B,trigger,secondary_trigger_candidate,test_now,run_seed_tests
THESIS_EP_LIQUIDITY_SHOCK,episode,EP_LIQUIDITY_SHOCK,LIQUIDITY_VACUUM|VOL_SHOCK,EP_LIQUIDITY_SHOCK,,"When episode EP_LIQUIDITY_SHOCK forms from LIQUIDITY_VACUUM + VOL_SHOCK, expect the episode path described by the contract to be testable over 8-24 bars.",Expect volatility expansion and directional follow-through after onset.,8-24 bars,MEAN_REVERSION_SIGNAL,episode_contract_fallback:EP_LIQUIDITY_SHOCK,Allowed unless disallowed regimes are present; blocked in SCHEDULED_TEMPORAL_WINDOW,none_yet,episode_contract_available,B,trigger,secondary_trigger_candidate,test_now,run_seed_tests
THESIS_EP_DISLOCATION_REPAIR,episode,EP_DISLOCATION_REPAIR,CROSS_VENUE_DESYNC|ABSORPTION_EVENT,EP_DISLOCATION_REPAIR,,"When episode EP_DISLOCATION_REPAIR forms from CROSS_VENUE_DESYNC + ABSORPTION_EVENT, expect the episode path described by the contract to be testable over 8-32 bars.",Expect bounded repair or convergence after the dislocation resolves.,8-32 bars,TREND_ACCELERATION,episode_contract_fallback:EP_DISLOCATION_REPAIR,Allowed unless disallowed regimes are present,none_yet,episode_contract_available,C,context,context_only,needs_repair,repair_governance_or_role_conflict
